"id","aid","pid","name","type"
"1","240","2","APEX英雄","BILI"
"2","80","2","绝地求生","BILI"
"3","87","2","守望先锋","BILI"
"4","239","2","刀塔自走棋","BILI"
"5","86","2","英雄联盟","BILI"
"6","92","2","DOTA2","BILI"
"7","91","2","炉石传说","BILI"
"8","78","2","DNF","BILI"
"9","89","2","CS:GO","BILI"
"10","84","2","300英雄","BILI"
"11","82","2","剑网3","BILI"
"12","88","2","穿越火线","BILI"
"13","102","2","最终幻想14","BILI"
"14","196","2","无限法则","BILI"
"15","115","2","坦克世界","BILI"
"16","164","2","堡垒之夜","BILI"
"17","83","2","魔兽世界","BILI"
"18","181","2","魔兽争霸3","BILI"
"19","93","2","星际争霸2","BILI"
"20","114","2","风暴英雄","BILI"
"21","81","2","三国杀","BILI"
"22","112","2","龙之谷","BILI"
"23","166","2","逆水寒","BILI"
"24","173","2","古剑奇谭OL","BILI"
"25","176","2","幻想全明星","BILI"
"26","248","2","战舰世界","BILI"
"27","249","2","星际战甲","BILI"
"28","35","3","王者荣耀","BILI"
"29","107","2","其他游戏","BILI"
"30","163","3","第五人格","BILI"
"31","153","3","绝地求生:刺激战场","BILI"
"32","37","3","Fate/GO","BILI"
"33","156","3","影之诗","BILI"
"34","40","3","崩坏3","BILI"
"35","113","3","碧蓝航线","BILI"
"36","214","3","雀姬","BILI"
"37","154","3","QQ飞车","BILI"
"38","36","3","阴阳师","BILI"
"39","140","3","决战！平安京","BILI"
"40","155","3","绝地求生:全军出击","BILI"
"41","141","3","荒野行动","BILI"
"42","189","3","明日之后","BILI"
"43","39","3","少女前线","BILI"
"44","182","3","方舟指令","BILI"
"45","50","3","部落冲突:皇室战争","BILI"
"46","48","3","虚荣","BILI"
"47","42","3","解密游戏","BILI"
"48","41","3","狼人杀","BILI"
"49","206","3","剑网3指尖江湖","BILI"
"50","174","3","电击文库：零境交错","BILI"
"51","184","3","神都夜行录","BILI"
"52","178","3","梦幻模拟战","BILI"
"53","203","3","忍者必须死3","BILI"
"54","208","3","雀魂","BILI"
"55","186","3","球球大作战","BILI"
"56","211","3","闹闹天宫","BILI"
"57","212","3","非人学园","BILI"
"58","215","3","月圆之夜","BILI"
"59","238","3","约战:精灵再临","BILI"
"60","242","3","命运歌姬","BILI"
"61","98","3","其他手游","BILI"
"62","236","6","主机游戏","BILI"
"63","216","6","我的世界","BILI"
"64","217","6","怪物猎人:世界","BILI"
"65","245","6","只狼：影逝二度","BILI"
"66","244","6","鬼泣5","BILI"
"67","218","6","饥荒","BILI"
"68","243","6","全境封锁2","BILI"
"69","237","6","怀旧游戏","BILI"
"70","228","6","精灵宝可梦","BILI"
"71","221","6","战地5","BILI"
"72","219","6","以撒","BILI"
"73","233","6","皇牌空战7","BILI"
"74","241","6","圣歌","BILI"
"75","229","6","古剑奇谭三","BILI"
"76","232","6","了不起的修仙模拟器","BILI"
"77","227","6","刺客信条:奥德赛","BILI"
"78","223","6","灵魂筹码","BILI"
"79","247","6","探灵笔记","BILI"
"80","226","6","荒野大镖客2","BILI"
"81","230","6","任天堂明星大乱斗：特别版","BILI"
"82","220","6","辐射76","BILI"
"83","224","6","太吾绘卷","BILI"
"84","225","6","中国式家长","BILI"
"85","222","6","超级马里奥奥德赛","BILI"
"86","246","6","Unheard-疑案追声","BILI"
"87","21","1","视频唱见","BILI"
"88","235","6","其他单机","BILI"
"89","145","1","视频聊天","BILI"
"90","207","1","舞见","BILI"
"91","143","1","才艺","BILI"
"92","199","1","虚拟主播","BILI"
"93","136","1","美食","BILI"
"94","123","1","户外","BILI"
"95","28","1","萌宠","BILI"
"96","25","1","手工","BILI"
"97","27","1","学习","BILI"
"98","34","1","音乐台","BILI"
"99","33","1","映评馆","BILI"
"100","193","5","声优","BILI"
"101","190","5","唱见电台","BILI"
"102","192","5","聊天电台","BILI"
"103","94","4","同人绘画","BILI"
"104","51","4","原创绘画","BILI"
"105","95","4","临摹绘画","BILI"
"106","96","4","其他绘画","BILI"
"107","2","0","网游","BILI"
"108","3","0","手游","BILI"
"109","4","0","绘画","BILI"
"110","1","0","娱乐","BILI"
"111","5","0","电台","BILI"
"112","6","0","单机","BILI"
"113","256","3","和平精英","BILI"
"114","250","3","自走棋游戏","BILI"
"115","251","2","枪神纪","BILI"
"116","252","2","逃离塔科夫","BILI"
"117","253","3","一起来来抓妖","BILI"
"118","254","6","往日不再","BILI"
"119","255","3","明日方舟","BILI"
